Número da Compra;Número do Item;Descrição;Descrição Detalhada;Início da Vigência;Fim da Vigência;Unidade;Qtd. Autorizada;Fornecedor;Val. Unitário;Qtd. Saldo;Link do Item;Tipo de Compra;Número do Pregão;Ano do Pregão;UASG;Objeto;Unidade de Fornecimento;key
160192 - Pregão | 00013/2023;25;443253 - PARAFUSO COM PORCA;PARAFUSO COM PORCA, MATERIAL AÇO, TIPO CABEÇA FRANCESA, DIÂMETRO 1/4 POL, COMPRIMENTO 2 POL, CARACTERÍSTICAS ADICIONAIS COM ARRUELA;14/03/2024;2025-03-14; 160192 - B ADM AP/5ª RM;5.0;43.098.231/0001-92 - FORTZ COMERCIO DE MATERIAIS ELETRICOS LTDA;33.98;5.0;https://contratos.sistema.gov.br/transparencia/compras/507141/itens/4996655/show;Pregão;13;2023;160192;Aquisição de materiais de construção em geral, para Base de Administração e apoio da 5ª Região Militar, unidades apoiadas e membros do GCALC, conforme OS 01/2023-GCALC, de 05 de junho de 2023.;Centena;13_2023_25
160192 - Pregão | 00013/2023;26;254729 - PARAFUSO COM PORCA;PARAFUSO COM PORCA, MATERIAL METAL ZINCADO, TIPO CABEÇA FRANCESA, DIÂMETRO 3/ 8 POL, COMPRIMENTO 6 POL;14/03/2024;2025-03-14; 160192 - B ADM AP/5ª RM;5.0;36.330.093/0001-60 - F & R SOLUCOES ADMINISTRATIVAS LTDA;182.99;5.0;https://contratos.sistema.gov.br/transparencia/compras/507141/itens/4996656/show;Pregão;13;2023;160192;Aquisição de materiais de construção em geral, para Base de Administração e apoio da 5ª Região Militar, unidades apoiadas e membros do GCALC, conforme OS 01/2023-GCALC, de 05 de junho de 2023.;Centena;13_2023_26
160192 - Pregão | 00013/2023;29;443264 - PARAFUSO;PARAFUSO, MATERIAL BICROMATIZADO, TIPO CABEÇA CHATA, COMPRIMENTO 30 MM, DIÂMETRO 3,5 MM, CARACTERÍSTICAS ADICIONAIS FENDA PHILIPS, APLICAÇÃO MADEIRA;28/03/2024;2025-03-28; 160192 - B ADM AP/5ª RM;5.0;37.201.772/0001-00 - VIDOR & HEINECKE REPRESENTACOES COMERCIAIS LTDA;7.31;5.0;https://contratos.sistema.gov.br/transparencia/compras/507141/itens/4996659/show;Pregão;13;2023;160192;Aquisição de materiais de construção em geral, para Base de Administração e apoio da 5ª Região Militar, unidades apoiadas e membros do GCALC, conforme OS 01/2023-GCALC, de 05 de junho de 2023.;Embalagem 100,00 UN;13_2023_29
160192 - Pregão | 00013/2023;30;333182 - PARAFUSO CABEÇA CHATA;PARAFUSO CABEÇA CHATA, MATERIAL AÇO ZINCADO, TIPO ROSCA SOBERBA, DIÂMETRO NOMINAL 4,20 MM, COMPRIMENTO NOMINAL 25 MM, CARACTERÍSTICAS ADICIONAIS TIPO FENDA;14/03/2024;2025-03-14; 160192 - B ADM AP/5ª RM;5.0;43.098.231/0001-92 - FORTZ COMERCIO DE MATERIAIS ELETRICOS LTDA;3.68;5.0;https://contratos.sistema.gov.br/transparencia/compras/507141/itens/4996660/show;Pregão;13;2023;160192;Aquisição de materiais de construção em geral, para Base de Administração e apoio da 5ª Região Militar, unidades apoiadas e membros do GCALC, conforme OS 01/2023-GCALC, de 05 de junho de 2023.;Caixa 100,00 UN;13_2023_30
160192 - Pregão | 00013/2023;31;356392 - PARAFUSO CABEÇA CHATA;PARAFUSO CABEÇA CHATA, MATERIAL FERRO, DIÂMETRO NOMINAL 4 MM, COMPRIMENTO NOMINAL 20 MM, CARACTERÍSTICAS ADICIONAIS CEMENTADO,BICROMATIZADO ZINCADO,FENDA TIPO PHILIP S;14/03/2024;2025-03-14; 160192 - B ADM AP/5ª RM;5.0;14.636.329/0001-58 - DAFMAQ COMERCIAL LTDA;24.6;5.0;https://contratos.sistema.gov.br/transparencia/compras/507141/itens/4996663/show;Pregão;13;2023;160192;Aquisição de materiais de construção em geral, para Base de Administração e apoio da 5ª Região Militar, unidades apoiadas e membros do GCALC, conforme OS 01/2023-GCALC, de 05 de junho de 2023.;Caixa 1.000,00 UN;13_2023_31
160192 - Pregão | 00013/2023;32;400088 - PARAFUSO;PARAFUSO, MATERIAL BICROMATIZADO, COMPRIMENTO 50 MM, DIÂMETRO 4 MM, CARACTERÍSTICAS ADICIONAIS FENDA PHILIPS, APLICAÇÃO MADEIRA;28/03/2024;2025-03-28; 160192 - B ADM AP/5ª RM;5.0;37.201.772/0001-00 - VIDOR & HEINECKE REPRESENTACOES COMERCIAIS LTDA;7.94;5.0;https://contratos.sistema.gov.br/transparencia/compras/507141/itens/4996665/show;Pregão;13;2023;160192;Aquisição de materiais de construção em geral, para Base de Administração e apoio da 5ª Região Militar, unidades apoiadas e membros do GCALC, conforme OS 01/2023-GCALC, de 05 de junho de 2023.;Embalagem 100,00 UN;13_2023_32
160192 - Pregão | 00013/2023;33;443261 - PARAFUSO;PARAFUSO, MATERIAL BICROMATIZADO, TIPO CABEÇA CHATA, COMPRIMENTO 16 MM, DIÂMETRO 3,5 MM, CARACTERÍSTICAS ADICIONAIS FENDA PHILIPS, APLICAÇÃO MADEIRA;14/03/2024;2025-03-14; 160192 - B ADM AP/5ª RM;5.0;43.098.231/0001-92 - FORTZ COMERCIO DE MATERIAIS ELETRICOS LTDA;12.15;5.0;https://contratos.sistema.gov.br/transparencia/compras/507141/itens/4996668/show;Pregão;13;2023;160192;Aquisição de materiais de construção em geral, para Base de Administração e apoio da 5ª Região Militar, unidades apoiadas e membros do GCALC, conforme OS 01/2023-GCALC, de 05 de junho de 2023.;Caixa 500,00 UN;13_2023_33
160192 - Pregão | 00013/2023;34;443264 - PARAFUSO;PARAFUSO, MATERIAL BICROMATIZADO, TIPO CABEÇA CHATA, COMPRIMENTO 30 MM, DIÂMETRO 3,5 MM, CARACTERÍSTICAS ADICIONAIS FENDA PHILIPS, APLICAÇÃO MADEIRA;14/03/2024;2025-03-14; 160192 - B ADM AP/5ª RM;5.0;14.636.329/0001-58 - DAFMAQ COMERCIAL LTDA;16.79;5.0;https://contratos.sistema.gov.br/transparencia/compras/507141/itens/4996670/show;Pregão;13;2023;160192;Aquisição de materiais de construção em geral, para Base de Administração e apoio da 5ª Região Militar, unidades apoiadas e membros do GCALC, conforme OS 01/2023-GCALC, de 05 de junho de 2023.;Caixa 500,00 UN;13_2023_34
160192 - Pregão | 00013/2023;35;250739 - BUCHA FIXAÇÃO;BUCHA FIXAÇÃO, TIPO GRAMPO, COMPRIMENTO 3 CM, TAMANHO 6, APLICAÇÃO FIO DE TELEFONE;14/03/2024;2025-03-14; 160192 - B ADM AP/5ª RM;5.0;09.655.702/0001-88 - E C DA SILVA FERRAGENS LTDA;2.0;5.0;https://contratos.sistema.gov.br/transparencia/compras/507141/itens/4996672/show;Pregão;13;2023;160192;Aquisição de materiais de construção em geral, para Base de Administração e apoio da 5ª Região Militar, unidades apoiadas e membros do GCALC, conforme OS 01/2023-GCALC, de 05 de junho de 2023.;Unidade;13_2023_35
160192 - Pregão | 00013/2023;37;364944 - BUCHA PARAFUSO;BUCHA PARAFUSO, MATERIAL PVC, TAMANHO S-10;28/03/2024;2025-03-28; 160192 - B ADM AP/5ª RM;5.0;37.201.772/0001-00 - VIDOR & HEINECKE REPRESENTACOES COMERCIAIS LTDA;6.5;5.0;https://contratos.sistema.gov.br/transparencia/compras/507141/itens/5007873/show;Pregão;13;2023;160192;Aquisição de materiais de construção em geral, para Base de Administração e apoio da 5ª Região Militar, unidades apoiadas e membros do GCALC, conforme OS 01/2023-GCALC, de 05 de junho de 2023.;Caixa 100,00 UN;13_2023_37
160192 - Pregão | 00013/2023;38;380265 - BUCHA PARAFUSO;BUCHA PARAFUSO, MATERIAL PLÁSTICO, TAMANHO S-12;28/03/2024;2025-03-28; 160192 - B ADM AP/5ª RM;5.0;37.201.772/0001-00 - VIDOR & HEINECKE REPRESENTACOES COMERCIAIS LTDA;9.15;5.0;https://contratos.sistema.gov.br/transparencia/compras/507141/itens/5007874/show;Pregão;13;2023;160192;Aquisição de materiais de construção em geral, para Base de Administração e apoio da 5ª Região Militar, unidades apoiadas e membros do GCALC, conforme OS 01/2023-GCALC, de 05 de junho de 2023.;Caixa 100,00 UN;13_2023_38
160192 - Pregão | 00013/2023;39;462350 - BUCHA PARAFUSO;BUCHA PARAFUSO, MATERIAL PEAD, TAMANHO 4 X 16 MM, TIPO FLY 2, CARACTERÍSTICAS ADICIONAIS PARA 10 KG DE CARGA;14/03/2024;2025-03-14; 160192 - B ADM AP/5ª RM;5.0;43.098.231/0001-92 - FORTZ COMERCIO DE MATERIAIS ELETRICOS LTDA;10.65;5.0;https://contratos.sistema.gov.br/transparencia/compras/507141/itens/4996675/show;Pregão;13;2023;160192;Aquisição de materiais de construção em geral, para Base de Administração e apoio da 5ª Região Militar, unidades apoiadas e membros do GCALC, conforme OS 01/2023-GCALC, de 05 de junho de 2023.;Caixa 50,00 UN;13_2023_39
160192 - Pregão | 00013/2023;40;601981 - BUCHA PARAFUSO;BUCHA PARAFUSO, MATERIAL PLÁSTICO, TAMANHO 32 MM, TIPO PARA DRYWALL E GESSO BUCHA FLY 4.;14/03/2024;2025-03-14; 160192 - B ADM AP/5ª RM;5.0;43.098.231/0001-92 - FORTZ COMERCIO DE MATERIAIS ELETRICOS LTDA;10.65;5.0;https://contratos.sistema.gov.br/transparencia/compras/507141/itens/4996677/show;Pregão;13;2023;160192;Aquisição de materiais de construção em geral, para Base de Administração e apoio da 5ª Região Militar, unidades apoiadas e membros do GCALC, conforme OS 01/2023-GCALC, de 05 de junho de 2023.;Caixa 50,00 UN;13_2023_40
160192 - Pregão | 00013/2023;41;601982 - BUCHA PARAFUSO;BUCHA PARAFUSO, MATERIAL PLÁSTICO, TAMANHO 42 MM, TIPO PARA DRYWALL E GESSO BUCHA FLY 4.;14/03/2024;2025-03-14; 160192 - B ADM AP/5ª RM;5.0;14.636.329/0001-58 - DAFMAQ COMERCIAL LTDA;14.25;5.0;https://contratos.sistema.gov.br/transparencia/compras/507141/itens/4996679/show;Pregão;13;2023;160192;Aquisição de materiais de construção em geral, para Base de Administração e apoio da 5ª Região Militar, unidades apoiadas e membros do GCALC, conforme OS 01/2023-GCALC, de 05 de junho de 2023.;Caixa 50,00 UN;13_2023_41
160192 - Pregão | 00013/2023;42;262872 - ESCÁPULA;ESCÁPULA, MATERIAL AÇO INOXIDÁVEL, TIPO COM ROSCA, DIMENSÃO 3,3 X 57 MM, CARACTERÍSTICAS ADICIONAIS COM BUCHA S-6;14/03/2024;2025-03-14; 160192 - B ADM AP/5ª RM;5.0;14.968.227/0001-30 - FERGAVI COMERCIAL LTDA;18.38;5.0;https://contratos.sistema.gov.br/transparencia/compras/507141/itens/4996681/show;Pregão;13;2023;160192;Aquisição de materiais de construção em geral, para Base de Administração e apoio da 5ª Região Militar, unidades apoiadas e membros do GCALC, conforme OS 01/2023-GCALC, de 05 de junho de 2023.;Centena;13_2023_42
160192 - Pregão | 00013/2023;43;337548 - ESCÁPULA;ESCÁPULA, MATERIAL AÇO INOXIDÁVEL, TIPO COM ROSCA, CARACTERÍSTICAS ADICIONAIS SEM BUCHA, COMPRIMENTO 1 1/2 POL, ESPESSURA 3 MM;14/03/2024;2025-03-14; 160192 - B ADM AP/5ª RM;5.0;14.636.329/0001-58 - DAFMAQ COMERCIAL LTDA;31.9;5.0;https://contratos.sistema.gov.br/transparencia/compras/507141/itens/4996683/show;Pregão;13;2023;160192;Aquisição de materiais de construção em geral, para Base de Administração e apoio da 5ª Região Militar, unidades apoiadas e membros do GCALC, conforme OS 01/2023-GCALC, de 05 de junho de 2023.;Centena;13_2023_43
160192 - Pregão | 00013/2023;44;337548 - ESCÁPULA;ESCÁPULA, MATERIAL AÇO INOXIDÁVEL, TIPO COM ROSCA, CARACTERÍSTICAS ADICIONAIS SEM BUCHA, COMPRIMENTO 1 1/2 POL, ESPESSURA 3 MM;14/03/2024;2025-03-14; 160192 - B ADM AP/5ª RM;5.0;14.636.329/0001-58 - DAFMAQ COMERCIAL LTDA;36.84;5.0;https://contratos.sistema.gov.br/transparencia/compras/507141/itens/4996685/show;Pregão;13;2023;160192;Aquisição de materiais de construção em geral, para Base de Administração e apoio da 5ª Região Militar, unidades apoiadas e membros do GCALC, conforme OS 01/2023-GCALC, de 05 de junho de 2023.;Centena;13_2023_44
160192 - Pregão | 00013/2023;45;479081 - ADESIVO USO GERAL;ADESIVO USO GERAL, APLICAÇÃO COLAGEM DE BORRACHA SINTÉTICA VULCANIZADA AO AÇO, CARACTERÍSTICAS ADICIONAIS NORMA MIL-A-1154, APRESENTAÇÃO PASTA, COMPOSIÇÃO ELASTÔMERO SINTÉTICO, POLICLOROPRENO;28/03/2024;2025-03-28; 160192 - B ADM AP/5ª RM;2.0;31.666.544/0001-10 - AGUA DOCE MATERIAIS DE CONSTRUCAO LTDA;83.8;2.0;https://contratos.sistema.gov.br/transparencia/compras/507141/itens/4996687/show;Pregão;13;2023;160192;Aquisição de materiais de construção em geral, para Base de Administração e apoio da 5ª Região Militar, unidades apoiadas e membros do GCALC, conforme OS 01/2023-GCALC, de 05 de junho de 2023.;Galão 2,80 KG;13_2023_45
160192 - Pregão | 00013/2023;46;266502 - ADESIVO VEDA-CALHA;ADESIVO VEDA-CALHA, ASPECTO FÍSICO PASTOSO, APLICAÇÃO CALHAS, TELHAS, RUFOS, PINGADEIRA, VALIDADE 12 MESES;14/03/2024;2025-03-14; 160192 - B ADM AP/5ª RM;10.0;08.658.622/0001-13 - J. J. VITALLI;8.72;10.0;https://contratos.sistema.gov.br/transparencia/compras/507141/itens/4996689/show;Pregão;13;2023;160192;Aquisição de materiais de construção em geral, para Base de Administração e apoio da 5ª Região Militar, unidades apoiadas e membros do GCALC, conforme OS 01/2023-GCALC, de 05 de junho de 2023.;Bisnaga 280,00 G;13_2023_46
160192 - Pregão | 00013/2023;47;280791 - COLA;COLA, COMPOSIÇÃO ACÉTICO E SILICONE, COR INCOLOR, APLICAÇÃO VIDRO, ALUMÍNIO, TIPO LÍQUIDO;14/03/2024;2025-03-14; 160192 - B ADM AP/5ª RM;50.0;43.098.231/0001-92 - FORTZ COMERCIO DE MATERIAIS ELETRICOS LTDA;10.48;50.0;https://contratos.sistema.gov.br/transparencia/compras/507141/itens/4996691/show;Pregão;13;2023;160192;Aquisição de materiais de construção em geral, para Base de Administração e apoio da 5ª Região Militar, unidades apoiadas e membros do GCALC, conforme OS 01/2023-GCALC, de 05 de junho de 2023.;Tubo 250,00 G;13_2023_47
160192 - Pregão | 00013/2023;48;409623 - PISTOLA APLICADORA;PISTOLA APLICADORA, APLICAÇÃO SILICONE, CARACTERÍSTICAS ADICIONAIS TIPO: MANUAL, COM GATILHO E MOLA DE RETROCESSO, MATERIAL AÇO;14/03/2024;2025-03-14; 160192 - B ADM AP/5ª RM;10.0;08.658.622/0001-13 - J. J. VITALLI;9.12;10.0;https://contratos.sistema.gov.br/transparencia/compras/507141/itens/4996693/show;Pregão;13;2023;160192;Aquisição de materiais de construção em geral, para Base de Administração e apoio da 5ª Região Militar, unidades apoiadas e membros do GCALC, conforme OS 01/2023-GCALC, de 05 de junho de 2023.;Unidade;13_2023_48
